Command,Description,Syntax,Parameters,Category,Tags
bitsadmin gethelpertokenflags,"Returns the usage flags for a ""/en-us/windows/win32/bits/helper-tokens-for-bits-transfer-jobs"" data-linktype=""absolute-path"">helper token that is associated with a BITS transfer job.",bitsadmin /gethelpertokenflags <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin gethelpertokensid,"Returns the SID of a BITS transfer job's ""/en-us/windows/win32/bits/helper-tokens-for-bits-transfer-jobs"" data-linktype=""absolute-path"">helper token, if one is set.",bitsadmin /gethelpertokensid <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin gethttpmethod,Gets the HTTP verb to use with the job.,bitsadmin /gethttpmethod <Job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getmaxdownloadtime,Retrieves the download timeout in seconds.,bitsadmin /getmaxdownloadtime <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getminretrydelay,"Retrieves the length of time, in seconds, that the service will wait after encountering a transient error before trying to transfer the file.",bitsadmin /getminretrydelay <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getmodificationtime,Retrieves the last time the job was modified or data was successfully transferred.,bitsadmin /getmodificationtime <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getnoprogresstimeout,"Retrieves the length of time, in seconds, that the service will try to transfer the file after a transient error occurs.",bitsadmin /getnoprogresstimeout <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getnotifycmdline,Retrieves the command-line command to run after the specified job finishes transferring data.,bitsadmin /getnotifycmdline <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getnotifyflags,Retrieves the notification flags for the specified job.,bitsadmin /getnotifyflags <job>,"job - The job's display name or GUID.
 0x001 - Generate an event when all files in the job have been transferred.
 0x002 - Generate an event when an error occurs.
 0x004 - Disable notifications.
 0x008 - Generate an event when the job is modified or transfer progress is made.",System Administration,File Transfer
bitsadmin getnotifyinterface,Determines whether another program has registered a COM callback interface (the notify interface) for the specified job.,bitsadmin /getnotifyinterface <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getowner,Displays the display name or GUID of the owner of the specified job.,bitsadmin /getowner <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getpeercachingflags,"Retrieves flags that determine if the files of the job can be cached and served to peers, and if BITS can download content for the job from peers.",bitsadmin /getpeercachingflags <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getpriority,Retrieves the priority of the specified job.,bitsadmin /getpriority <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getproxybypasslist,Retrieves the proxy bypass list for the specified job.,bitsadmin /getproxybypasslist <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getproxylist,Retrieves the comma-delimited list of proxy servers to use for the specified job.,bitsadmin /getproxylist <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getproxyusage,Retrieves the proxy usage setting for the specified job.,bitsadmin /getproxyusage <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getreplydata,Retrieves the server's upload-reply data in hexadecimal format for the job.,bitsadmin /getreplydata <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getreplyfilename,Gets the path of the file that contains the server upload-reply for the job.,bitsadmin /getreplyfilename <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getreplyprogress,Retrieves the size and progress of the server upload-reply.,bitsadmin /getreplyprogress <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getsecurityflags,Reports the HTTP security flags for URL redirection and checks performed on the server certificate during the transfer.,bitsadmin /getsecurityflags <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getstate,Retrieves the state of the specified job.,bitsadmin /getstate <job>,"job - The job's display name or GUID.
 Queued - The job is waiting to run.
 Connecting - BITS is contacting the server.
 Transferring - BITS is transferring data.
 Transferred - BITS has successfully transferred all files in the job.
 Suspended - The job is paused.
 Error - A non-recoverable error occurred; the transfer will not be retried.
 Transient_Error - A recoverable error occurred; the transfer retries when the minimum retry delay expires.
 Acknowledged - The job completed.
 Canceled - The job was canceled.",System Administration,File Transfer
bitsadmin gettemporaryname,Reports the temporary filename of the given file within the job.,bitsadmin /gettemporaryname <job> <file_index>,"job - The job's display name or GUID.
 file_index - Starts from 0.",System Administration,File Transfer
